,name,rankall,name_type,rank_type,edu,limit_year,view_total
684,清洁生产与减排技术,476,环境保护类,20,专科 ,三年,20663
685,资源综合利用与管理技术,467,环境保护类,19,专科 ,三年,20666
686,水净化与安全技术,1290,环境保护类,67,专科 ,三年,111
687,安全健康与环保,414,安全类,10,专科 ,三年,20686
688,化工安全技术,532,安全类,25,专科 ,三年,20648
689,救援技术,1154,安全类,54,专科 ,三年,2601
690,安全技术与管理,312,安全类,4,专科 ,三年,20764
691,工程安全评价与监理,453,安全类,15,专科 ,三年,20670
692,安全生产监测监控,490,安全类,21,专科 ,三年,20657
693,职业卫生技术与管理,422,安全类,11,专科 ,三年,20681
694,发电厂及电力系统,881,电力技术类,41,专科 ,三年,6169
695,供用电技术,1137,电力技术类,43,专科 ,三年,2714
696,电力系统自动化技术,852,电力技术类,40,专科 ,三年,7098
697,高压输配电线路施工运行与维护,1181,电力技术类,45,专科 ,三年,2372
698,电力系统继电保护与自动化技术,333,电力技术类,2,专科 ,三年,20750
699,水电站机电设备与自动化,406,电力技术类,6,专科 ,三年,20692
700,电网监控技术,1256,电力技术类,49,专科 ,三年,1243
701,电力客户服务与管理,430,电力技术类,9,专科 ,三年,20680
702,水电站与电力网,423,电力技术类,8,专科 ,三年,20682
703,电源变换技术与应用,505,电力技术类,15,专科 ,三年,20654
704,农业电气化技术,523,电力技术类,18,专科 ,三年,20650
705,分布式发电与微电网技术,524,电力技术类,19,专科 ,三年,20650
706,机场电工技术,1285,电力技术类,50,专科 ,三年,126
707,电厂热能动力装置,1169,热能与发电工程类,44,专科 ,三年,2502
708,城市热能应用技术,1192,热能与发电工程类,46,专科 ,三年,2285
709,核电站动力设备运行与维护,410,热能与发电工程类,7,专科 ,三年,20690
710,火电厂集控运行,1204,热能与发电工程类,47,专科 ,三年,2085
711,电厂化学与环保技术,543,热能与发电工程类,22,专科 ,三年,20647
712,电厂热工自动化技术,488,热能与发电工程类,14,专科 ,三年,20659
713,风力发电工程技术,274,新能源发电工程类,1,专科 ,三年,20824
714,风电系统运行与维护,506,新能源发电工程类,16,专科 ,三年,20654
715,生物质能应用技术,389,新能源发电工程类,5,专科 ,三年,20701
716,光伏发电技术与应用,374,新能源发电工程类,4,专科 ,三年,20711
717,工业节能技术,440,新能源发电工程类,10,专科 ,三年,20677
718,节电技术与管理,574,新能源发电工程类,24,专科 ,三年,20641
719,太阳能光热技术与应用,451,新能源发电工程类,11,专科 ,三年,20673
720,农村能源与环境技术,1003,新能源发电工程类,42,专科 ,三年,4100
721,黑色冶金技术,478,黑色金属材料类,13,专科 ,三年,20663
722,轧钢工程技术,636,黑色金属材料类,34,专科 ,三年,20625
723,钢铁冶金设备应用技术,637,黑色金属材料类,35,专科 ,三年,20625
724,金属材料质量检测,600,黑色金属材料类,29,专科 ,三年,20634
725,铁矿资源综合利用,640,黑色金属材料类,36,专科 ,三年,20624
726,有色冶金技术,558,有色金属材料类,23,专科 ,三年,20644
727,有色冶金设备应用技术,652,有色金属材料类,37,专科 ,三年,20621
728,金属压力加工,658,有色金属材料类,38,专科 ,三年,20619
729,金属精密成型技术,619,有色金属材料类,32,专科 ,三年,20629
730,储能材料技术,1308,有色金属材料类,51,专科 ,三年,58
731,材料工程技术,1209,非金属材料类,48,专科 ,三年,2040
732,高分子材料工程技术,337,非金属材料类,3,专科 ,三年,20747
733,复合材料工程技术,468,非金属材料类,12,专科 ,三年,20667
734,非金属矿物材料技术,588,非金属材料类,28,专科 ,三年,20637
735,光伏材料制备技术,586,非金属材料类,26,专科 ,三年,20638
736,炭素加工技术,609,非金属材料类,30,专科 ,三年,20633
737,硅材料制备技术,581,非金属材料类,25,专科 ,三年,20639
738,橡胶工程技术,620,非金属材料类,33,专科 ,三年,20629
739,建筑材料工程技术,721,建筑材料类,39,专科 ,三年,12779
740,建筑材料检测技术,587,建筑材料类,27,专科 ,三年,20638
741,建筑装饰材料技术,521,建筑材料类,17,专科 ,三年,20651
742,建筑材料设备应用,616,建筑材料类,31,专科 ,三年,20630
743,新型建筑材料技术,533,建筑材料类,20,专科 ,三年,20649
744,建筑材料生产与管理,540,建筑材料类,21,专科 ,三年,20648
745,建筑设计,76,建筑设计类,2,专科 ,三年,22527
746,建筑装饰工程技术,951,建筑设计类,24,专科 ,三年,4780
747,古建筑工程技术,226,建筑设计类,9,专科 ,三年,20923
748,建筑室内设计,129,建筑设计类,4,专科 ,三年,21462
749,风景园林设计,179,建筑设计类,5,专科 ,三年,21079
750,园林工程技术,855,建筑设计类,21,专科 ,三年,7048
751,建筑动画与模型制作,263,建筑设计类,10,专科 ,三年,20840
752,城乡规划,198,城乡规划与管理类,7,专科 ,三年,21022
753,村镇建设与管理,362,城乡规划与管理类,16,专科 ,三年,20718
754,城市信息化管理,336,城乡规划与管理类,13,专科 ,三年,20747
755,建筑工程技术,116,土建施工类,3,专科 ,三年,21703
756,地下与隧道工程技术,289,土建施工类,12,专科 ,三年,20794
757,土木工程检测技术,197,土建施工类,6,专科 ,三年,21026
758,建筑钢结构工程技术,400,土建施工类,17,专科 ,三年,20697
759,建筑设备工程技术,889,建筑设备类,22,专科 ,三年,5866
760,供热通风与空调工程技术,1071,建筑设备类,29,专科 ,三年,3330
761,建筑电气工程技术,1100,建筑设备类,31,专科 ,三年,3061
762,建筑智能化工程技术,288,建筑设备类,11,专科 ,三年,20795
763,工业设备安装工程技术,1006,建筑设备类,26,专科 ,三年,4075
764,消防工程技术,919,建筑设备类,23,专科 ,三年,5342
765,建设工程管理,214,建设工程管理类,8,专科 ,三年,20956
766,工程造价,28,建设工程管理类,1,专科 ,三年,40619
767,建筑经济管理,1092,建设工程管理类,30,专科 ,三年,3093
768,建设项目信息化管理,431,建设工程管理类,18,专科 ,三年,20679
769,建设工程监理,352,建设工程管理类,14,专科 ,三年,20727
770,市政工程技术,1033,市政工程类,28,专科 ,三年,3714
771,城市燃气工程技术,971,市政工程类,25,专科 ,三年,4500
772,给排水工程技术,1010,市政工程类,27,专科 ,三年,4045
773,环境卫生工程技术,525,市政工程类,20,专科 ,三年,20649
774,房地产经营与管理,359,房地产类,15,专科 ,三年,20719
775,房地产检测与估价,472,房地产类,19,专科 ,三年,20664
776,物业管理,1190,房地产类,32,专科 ,三年,2298
777,水文与水资源工程,253,水文水资源类,1,专科 ,三年,20865
778,水文测报技术,496,水文水资源类,4,专科 ,三年,20656
779,水政水资源管理,1109,水文水资源类,14,专科 ,三年,2972
780,水利工程,1129,水利工程与管理类,15,专科 ,三年,2788
781,水利水电工程技术,279,水利工程与管理类,2,专科 ,三年,20813
782,水利水电工程管理,734,水利工程与管理类,11,专科 ,三年,12025
783,水利水电建筑工程,957,水利工程与管理类,12,专科 ,三年,4678
784,机电排灌工程技术,601,水利工程与管理类,8,专科 ,三年,20633
785,港口航道与治河工程,1260,水利工程与管理类,16,专科 ,三年,1031
786,水务管理,1063,水利工程与管理类,13,专科 ,三年,3381
787,水电站动力设备,497,水利水电设备类,5,专科 ,三年,20656
788,水电站电气设备,602,水利水电设备类,9,专科 ,三年,20633
789,水电站运行与管理,564,水利水电设备类,6,专科 ,三年,20642
790,水利机电设备运行与管理,603,水利水电设备类,10,专科 ,三年,20633
791,水土保持技术,575,水土保持与水环境类,7,专科 ,三年,20640
792,水环境监测与治理,417,水土保持与水环境类,3,专科 ,三年,20685
793,机械设计与制造,739,机械设计制造类,46,专科 ,三年,11757
794,机械制造与自动化,751,机械设计制造类,47,专科 ,三年,11018
795,数控技术,770,机械设计制造类,48,专科 ,三年,10012
796,精密机械技术,1080,机械设计制造类,59,专科 ,三年,3246
797,特种加工技术,356,机械设计制造类,11,专科 ,三年,20723
798,材料成型与控制技术,1180,机械设计制造类,62,专科 ,三年,2387
799,金属材料与热处理技术,823,机械设计制造类,50,专科 ,三年,7866
800,铸造技术,481,机械设计制造类,19,专科 ,三年,20662
801,锻压技术,612,机械设计制造类,33,专科 ,三年,20632
802,焊接技术与自动化,355,机械设计制造类,10,专科 ,三年,20725
803,机械产品检测检验技术,534,机械设计制造类,25,专科 ,三年,20649
804,理化测试与质检技术,491,机械设计制造类,21,专科 ,三年,20659
805,模具设计与制造,993,机械设计制造类,54,专科 ,三年,4214
806,电机与电器技术,412,机械设计制造类,16,专科 ,三年,20688
807,电线电缆制造技术,967,机械设计制造类,53,专科 ,三年,4540
808,内燃机制造与维修,1039,机械设计制造类,57,专科 ,三年,3627
809,机械装备制造技术,369,机械设计制造类,12,专科 ,三年,20714
810,工业设计,69,机械设计制造类,1,专科 ,三年,22944
811,工业工程技术,392,机械设计制造类,13,专科 ,三年,20701
812,自动化生产设备应用,1188,机电设备类,63,专科 ,三年,2304
813,机电设备安装技术,507,机电设备类,23,专科 ,三年,20654
814,机电设备维修与管理,1152,机电设备类,61,专科 ,三年,2606
815,数控设备应用与维护,1055,机电设备类,58,专科 ,三年,3435
816,制冷与空调技术,958,机电设备类,52,专科 ,三年,4677
817,光电制造与应用技术,571,机电设备类,30,专科 ,三年,20642
818,新能源装备技术,409,机电设备类,15,专科 ,三年,20692
819,机电一体化技术,143,自动化类,3,专科 ,三年,21352
820,电气自动化技术,929,自动化类,51,专科 ,三年,5193
821,工业过程自动化技术,452,自动化类,18,专科 ,三年,20672
822,智能控制技术,236,自动化类,7,专科 ,三年,20886
823,工业网络技术,1237,自动化类,65,专科 ,三年,1576
824,工业自动化仪表,589,自动化类,31,专科 ,三年,20637
825,液压与气动技术,1227,自动化类,64,专科 ,三年,1715
826,电梯工程技术,498,自动化类,22,专科 ,三年,20657
827,工业机器人技术,206,自动化类,5,专科 ,三年,21001
828,铁道机车车辆制造与维护,354,铁道装备类,9,专科 ,三年,20726
829,铁道通信信号设备制造与维护,415,铁道装备类,17,专科 ,三年,20687
830,铁道施工和养路机械制造与维护,559,铁道装备类,27,专科 ,三年,20644
831,船舶工程技术,792,船舶与海洋工程装备类,49,专科 ,三年,9027
832,船舶机械工程技术,560,船舶与海洋工程装备类,28,专科 ,三年,20644
833,船舶电气工程技术,614,船舶与海洋工程装备类,34,专科 ,三年,20631
834,船舶舾装工程技术,653,船舶与海洋工程装备类,41,专科 ,三年,20621
835,船舶涂装工程技术,660,船舶与海洋工程装备类,44,专科 ,三年,20617
836,游艇设计与制造,629,船舶与海洋工程装备类,39,专科 ,三年,20628
837,海洋工程技术,599,船舶与海洋工程装备类,32,专科 ,三年,20635
838,船舶通信与导航,654,船舶与海洋工程装备类,42,专科 ,三年,20621
839,船舶动力工程技术,621,船舶与海洋工程装备类,35,专科 ,三年,20629
840,飞行器制造技术,401,航空装备类,14,专科 ,三年,20696
841,飞行器维修技术,482,航空装备类,20,专科 ,三年,20662
842,航空发动机制造技术,516,航空装备类,24,专科 ,三年,20652
843,航空发动机装试技术,657,航空装备类,43,专科 ,三年,20621
844,航空发动机维修技术,535,航空装备类,26,专科 ,三年,20649
845,飞机机载设备制造技术,623,航空装备类,37,专科 ,三年,20628
846,飞机机载设备维修技术,565,航空装备类,29,专科 ,三年,20643
847,航空电子电气技术,1024,航空装备类,56,专科 ,三年,3878
848,航空材料精密成型技术,622,航空装备类,36,专科 ,三年,20629
849,无人机应用技术,238,航空装备类,8,专科 ,三年,20882
850,导弹维修,679,航空装备类,45,专科 ,三年,17531
851,汽车制造与装配技术,996,汽车制造类,55,专科 ,三年,4160
852,汽车检测与维修技术,230,汽车制造类,6,专科 ,三年,20908
853,汽车电子技术,1097,汽车制造类,60,专科 ,三年,3068
854,汽车造型技术,624,汽车制造类,38,专科 ,三年,20628
855,汽车试验技术,645,汽车制造类,40,专科 ,三年,20623
856,汽车改装技术,97,汽车制造类,2,专科 ,三年,22056
857,新能源汽车技术,149,汽车制造类,4,专科 ,三年,21311
858,食品生物技术,1067,生物技术类,16,专科 ,三年,3362
859,化工生物技术,212,生物技术类,2,专科 ,三年,20973
860,药品生物技术,154,生物技术类,1,专科 ,三年,21221
861,农业生物技术,302,生物技术类,3,专科 ,三年,20773
862,生物产品检验检疫,358,生物技术类,5,专科 ,三年,20722
863,应用化工技术,1101,化工技术类,17,专科 ,三年,3026
864,石油炼制技术,499,化工技术类,11,专科 ,三年,20656
865,石油化工技术,404,化工技术类,9,专科 ,三年,20693
866,高分子合成技术,316,化工技术类,4,专科 ,三年,20763
867,精细化工技术,367,化工技术类,6,专科 ,三年,20715
868,海洋化工技术,368,化工技术类,7,专科 ,三年,20715
869,工业分析技术,386,化工技术类,8,专科 ,三年,20704
870,化工装备技术,517,化工技术类,12,专科 ,三年,20652
871,化工自动化技术,420,化工技术类,10,专科 ,三年,20684
872,涂装防护技术,590,化工技术类,14,专科 ,三年,20637
873,烟花爆竹技术与管理,578,化工技术类,13,专科 ,三年,20640
874,煤化工技术,604,化工技术类,15,专科 ,三年,20634
875,高分子材料加工技术,895,轻化工类,24,专科 ,三年,5781
876,制浆造纸技术,969,轻化工类,26,专科 ,三年,4508
877,香料香精工艺,880,轻化工类,23,专科 ,三年,6184
878,表面精饰工艺,987,轻化工类,27,专科 ,三年,4294
879,家具设计与制造,750,轻化工类,21,专科 ,三年,11189
880,化妆品技术,306,轻化工类,2,专科 ,三年,20771
881,皮革加工技术,615,轻化工类,14,专科 ,三年,20630
882,皮具制作与工艺,625,轻化工类,15,专科 ,三年,20627
883,鞋类设计与工艺,1218,轻化工类,32,专科 ,三年,1888
884,乐器制造与维护,545,轻化工类,8,专科 ,三年,20645
885,陶瓷制造工艺,572,轻化工类,12,专科 ,三年,20641
886,珠宝首饰技术与管理,1288,轻化工类,33,专科 ,三年,114
887,包装工程技术,511,包装类,7,专科 ,三年,20652
888,包装策划与设计,426,包装类,4,专科 ,三年,20681
889,包装设备应用技术,641,包装类,17,专科 ,三年,20623
890,食品包装技术,573,包装类,13,专科 ,三年,20641
891,数字图文信息技术,398,印刷类,3,专科 ,三年,20698
892,印刷设备应用技术,566,印刷类,11,专科 ,三年,20642
893,印刷媒体设计与制作,546,印刷类,9,专科 ,三年,20645
894,印刷媒体技术,460,印刷类,5,专科 ,三年,20667
895,数字印刷技术,547,印刷类,10,专科 ,三年,20645
896,现代纺织技术,960,纺织服装类,25,专科 ,三年,4650
897,丝绸技术,1119,纺织服装类,30,专科 ,三年,2867
898,染整技术,850,纺织服装类,22,专科 ,三年,7155
899,纺织机电技术,646,纺织服装类,19,专科 ,三年,20622
900,纺织品检验与贸易,1087,纺织服装类,29,专科 ,三年,3158
901,纺织品设计,1142,纺织服装类,31,专科 ,三年,2667
902,家用纺织品设计,626,纺织服装类,16,专科 ,三年,20627
903,纺织材料与应用,647,纺织服装类,20,专科 ,三年,20622
904,针织技术与针织服装,1030,纺织服装类,28,专科 ,三年,3748
905,服装设计与工艺,242,纺织服装类,1,专科 ,三年,20880
906,皮革服装制作与工艺,642,纺织服装类,18,专科 ,三年,20623
907,服装陈列与展示设计,485,纺织服装类,6,专科 ,三年,20659
908,食品加工技术,1182,食品工业类,21,专科 ,三年,2363
909,酿酒技术,1215,食品工业类,22,专科 ,三年,1932
910,食品质量与安全,216,食品工业类,1,专科 ,三年,20952
911,食品贮运与营销,1176,食品工业类,20,专科 ,三年,2420
912,食品检测技术,321,食品工业类,5,专科 ,三年,20757
913,食品营养与卫生,280,食品工业类,3,专科 ,三年,20811
914,食品营养与检测,234,食品工业类,2,专科 ,三年,20888
915,中药生产与加工,424,药品制造类,8,专科 ,三年,20681
916,药品生产技术,293,药品制造类,4,专科 ,三年,20791
917,兽药制药技术,605,药品制造类,12,专科 ,三年,20633
918,药品质量与安全,334,药品制造类,6,专科 ,三年,20749
919,制药设备应用技术,461,药品制造类,9,专科 ,三年,20668
920,化学制药技术,1231,药品制造类,23,专科 ,三年,1661
921,生物制药技术,1153,药品制造类,17,专科 ,三年,2603
922,中药制药技术,1167,药品制造类,18,专科 ,三年,2514
923,药物制剂技术,931,药品制造类,14,专科 ,三年,5190
924,药品经营与管理,711,食品药品管理类,13,专科 ,三年,13684
925,药品服务与管理,508,食品药品管理类,10,专科 ,三年,20653
926,保健品开发与管理,1047,食品药品管理类,15,专科 ,三年,3559
927,化妆品经营与管理,338,食品药品管理类,7,专科 ,三年,20746
928,食品药品监督管理,1170,食品药品管理类,19,专科 ,三年,2491
929,粮食工程技术,579,粮食工业类,11,专科 ,三年,20639
930,粮油储藏与检测技术,1136,粮食储检类,16,专科 ,三年,2722
931,铁道机车,133,铁道运输类,2,专科 ,三年,21430
932,铁道车辆,685,铁道运输类,53,专科 ,三年,16670
933,铁道供电技术,277,铁道运输类,11,专科 ,三年,20819
934,铁道工程技术,703,铁道运输类,54,专科 ,三年,14817
935,铁道机械化维修技术,310,铁道运输类,15,专科 ,三年,20767
936,铁道信号自动控制,254,铁道运输类,6,专科 ,三年,20865
937,铁道通信与信息化技术,266,铁道运输类,8,专科 ,三年,20837
938,铁道交通运营管理,719,铁道运输类,55,专科 ,三年,12883
939,铁路物流管理,255,铁道运输类,7,专科 ,三年,20865
940,铁路桥梁与隧道工程技术,342,铁道运输类,19,专科 ,三年,20741
941,高速铁道工程技术,273,铁道运输类,10,专科 ,三年,20823
942,高速铁路客运乘务,192,铁道运输类,3,专科 ,三年,21049
943,动车组检修技术,290,铁道运输类,13,专科 ,三年,20793
944,智能交通技术运用,278,道路运输类,12,专科 ,三年,20816
945,道路桥梁工程技术,268,道路运输类,9,专科 ,三年,20836
946,道路运输与路政管理,375,道路运输类,21,专科 ,三年,20710
947,道路养护与管理,454,道路运输类,32,专科 ,三年,20669
948,公路机械化施工技术,949,道路运输类,61,专科 ,三年,4837
949,工程机械运用技术,381,道路运输类,23,专科 ,三年,20706
950,交通运营管理,735,道路运输类,56,专科 ,三年,11961
951,交通枢纽运营管理,489,道路运输类,35,专科 ,三年,20658
952,汽车运用与维修技术,325,道路运输类,17,专科 ,三年,20753
953,汽车车身维修技术,448,道路运输类,31,专科 ,三年,20672
954,汽车运用安全管理,617,道路运输类,47,专科 ,三年,20629
955,新能源汽车运用与维修,345,道路运输类,20,专科 ,三年,20739
956,航海技术,669,水上运输类,52,专科 ,三年,19253
957,国际邮轮乘务管理,379,水上运输类,22,专科 ,三年,20707
958,船舶电子电气技术,522,水上运输类,39,专科 ,三年,20650
959,船舶检验,1135,水上运输类,66,专科 ,三年,2725
960,港口机械与自动控制,618,水上运输类,48,专科 ,三年,20629
961,港口电气技术,655,水上运输类,50,专科 ,三年,20620
962,港口与航道工程技术,580,水上运输类,44,专科 ,三年,20639
963,港口与航运管理,793,水上运输类,57,专科 ,三年,8874
964,港口物流管理,518,水上运输类,38,专科 ,三年,20651
965,轮机工程技术,1015,水上运输类,62,专科 ,三年,3996
966,水上救捞技术,659,水上运输类,51,专科 ,三年,20619
967,水路运输与海事管理,509,水上运输类,37,专科 ,三年,20653
968,集装箱运输管理,926,水上运输类,60,专科 ,三年,5265
969,民航运输,1095,航空运输类,64,专科 ,三年,3081
970,民航通信技术,402,航空运输类,25,专科 ,三年,20695
971,定翼机驾驶技术,479,航空运输类,34,专科 ,三年,20662
972,直升机驾驶技术,444,航空运输类,29,专科 ,三年,20674
973,空中乘务,199,航空运输类,4,专科 ,三年,21018
974,民航安全技术管理,868,航空运输类,58,专科 ,三年,6646
975,民航空中安全保卫,445,航空运输类,30,专科 ,三年,20674
976,机场运行,390,航空运输类,24,专科 ,三年,20701
977,飞机机电设备维修,326,航空运输类,18,专科 ,三年,20753
978,飞机电子设备维修,441,航空运输类,28,专科 ,三年,20676
979,飞机部件修理,553,航空运输类,41,专科 ,三年,20645
980,航空地面设备维修,567,航空运输类,43,专科 ,三年,20642
981,机场场务技术与管理,554,航空运输类,42,专科 ,三年,20644
982,航空油料,648,航空运输类,49,专科 ,三年,20622
983,航空物流,427,航空运输类,27,专科 ,三年,20680
984,通用航空器维修,582,航空运输类,45,专科 ,三年,20638
985,通用航空航务技术,541,航空运输类,40,专科 ,三年,20647
986,飞机结构修理,606,航空运输类,46,专科 ,三年,20633
987,管道工程技术,1052,管道运输类,63,专科 ,三年,3503
988,管道运输管理,1103,管道运输类,65,专科 ,三年,2989
989,城市轨道交通车辆技术,246,城市轨道交通类,5,专科 ,三年,20875
990,城市轨道交通机电技术,323,城市轨道交通类,16,专科 ,三年,20756
991,城市轨道交通通信信号技术,296,城市轨道交通类,14,专科 ,三年,20779
992,城市轨道交通供配电技术,470,城市轨道交通类,33,专科 ,三年,20665
993,城市轨道交通工程技术,23,城市轨道交通类,1,专科 ,三年,52165
